tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
shoot,µg,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,-0.4756,-0.4756,1.0,2.0,3.0,3.0,suppressed,T1,pathway_scores_all.csv,-0.552@Light,False
shoot,µg,Hormone transport,Auxin_transporters_PIN,pathway_score,-1.0265,-1.0265,1.0,2.0,7.0,7.0,suppressed,T1,pathway_scores_all.csv,-1.656@Light,False
shoot,µg,DNA repair,Base excision repair,pathway_score,-0.3214,-0.3214,1.0,2.0,50.0,50.0,suppressed,T1,pathway_scores_all.csv,-0.526@Light,False
shoot,µg,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,-0.1943,-0.1943,0.5,2.0,70.0,70.0,rewired,T1,pathway_scores_all.csv,-0.548@Light,False
shoot,µg,Circadian,Circadian rhythm - plant,pathway_score,0.0999,0.0999,0.5,2.0,43.0,43.0,rewired,T1,pathway_scores_all.csv,+0.203@Dark,False
shoot,µg,Circadian,Circadian_core,pathway_score,0.5829,0.5829,1.0,2.0,14.0,14.0,activated,T1,pathway_scores_all.csv,+0.775@Light,False
shoot,µg,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,-1.4273,-1.4273,1.0,2.0,25.0,22.0,suppressed,T1,pathway_scores_all.csv,-1.860@Dark,False
shoot,µg,DNA repair,Fanconi anemia pathway,pathway_score,-0.502,-0.502,1.0,2.0,46.0,46.0,suppressed,T1,pathway_scores_all.csv,-0.888@Light,False
shoot,µg,GA metabolism,GA_biosynthesis,pathway_score,-1.209,-1.209,1.0,2.0,17.0,14.0,suppressed,T1,pathway_scores_all.csv,-1.730@Dark,False
shoot,µg,GA metabolism,GA_core_NMF,pathway_score,,,0.0,2.0,3.0,2.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,µg,GA metabolism,GA_signaling,pathway_score,0.2382,0.2382,0.5,2.0,10.0,10.0,rewired,T1,pathway_scores_all.csv,+0.526@Light,False
shoot,µg,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,-0.4437,-0.4437,0.5,2.0,26.0,24.0,rewired,T1,pathway_scores_all.csv,-1.084@Light,True
shoot,µg,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,0.0111,0.0111,0.5,2.0,80.0,78.0,rewired,T1,pathway_scores_all.csv,+0.308@Dark,False
shoot,µg,Gravitropism,Gravitropism,pathway_score,-0.066,-0.066,0.5,2.0,9.0,8.0,rewired,T1,pathway_scores_all.csv,-0.286@Light,False
shoot,µg,DNA repair,Homologous recombination,pathway_score,-0.2719,-0.2719,1.0,2.0,60.0,60.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.539@Light,False
shoot,µg,Hormone transport,Hormone_transporters_ABCG,pathway_score,0.3257,0.3257,0.5,2.0,5.0,5.0,rewired,T1,pathway_scores_all.csv,+2.189@Light,True
shoot,µg,Hormone transport,Hormone_transporters_NPF,pathway_score,-0.4901,-0.4901,1.0,2.0,6.0,5.0,suppressed,T1,pathway_scores_all.csv,-0.699@Dark,False
shoot,µg,Hormone transport,Hub_transporter_core,pathway_score,0.7231,0.7231,1.0,2.0,5.0,4.0,activated,T1,pathway_scores_all.csv,+1.369@Dark,False
shoot,µg,DNA repair,Mismatch repair,pathway_score,-0.4345,-0.4345,1.0,2.0,32.0,32.0,suppressed,T1,pathway_scores_all.csv,-0.696@Light,False
shoot,µg,DNA repair,Non-homologous end-joining,pathway_score,-0.053,-0.053,1.0,2.0,8.0,8.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.086@Light,False
shoot,µg,DNA repair,Nucleotide excision repair,pathway_score,-0.0361,-0.0361,0.5,2.0,85.0,81.0,rewired,T1,pathway_scores_all.csv,-0.081@Light,False
