tair_id,gene_name,tissue,time,ratio,log2_ratio
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",shoot,96h,1.2,0.263
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",root,4h,0.97,-0.0439
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",root,24h,1.04,0.0566
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",root,48h,1.03,0.0426
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",root,96h,0.79,-0.3401
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",shoot,4h,0.99,-0.0145
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",shoot,24h,1.1,0.1375
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",shoot,48h,1.47,0.5558
AT3G51240,"F3'H, F3H, FLAVANONE 3-HYDROXYLASE, TRANSPARENT TESTA 6, TT6",shoot,96h,1.21,0.275
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",root,4h,1.04,0.0566
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",root,24h,1.02,0.0286
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",root,48h,1.01,0.0144
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",root,96h,1.16,0.2141
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",shoot,4h,1.24,0.3103
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",shoot,24h,0.84,-0.2515
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",shoot,48h,1.48,0.5656
AT5G63600,"ATFLS5, FLAVONOL SYNTHASE 5, FLS5",shoot,96h,2.13,1.0909
AT5G13930,"ATCHS, CHALCONE SYNTHASE, CHS, TRANSPARENT TESTA 4, TT4",root,4h,1.22,0.2869
